Data/Time,CPU usage %,Temperature C
2022-04-05 01:25:38.427654,16.8,40.9
2022-04-05 01:25:48.811186,16.9,40.9
2022-04-05 01:25:59.181964,17.3,39.4
2022-04-05 01:26:09.417686,17.1,39.9
2022-04-05 01:26:19.807620,17.7,40.4
2022-04-05 01:26:30.157662,19.1,40.4
2022-04-05 01:26:40.377636,21.2,41.8
2022-04-05 01:26:50.612933,19.7,40.4
2022-04-05 01:27:00.987698,19.2,39.9
2022-04-05 01:27:11.244382,18.6,40.4
2022-04-05 01:27:21.620141,21.3,40.4
2022-04-05 01:27:31.947888,29.1,40.4
2022-04-05 01:27:42.207764,27.9,40.9
2022-04-05 01:27:52.605715,27.7,40.9
2022-04-05 01:28:02.837853,24.5,39.9
2022-04-05 01:28:13.067659,17.4,39.4
2022-04-05 01:28:23.427672,15.7,40.4
2022-04-05 01:28:33.740098,16.7,40.4
2022-04-05 01:28:44.143389,16.2,40.9
2022-04-05 01:28:54.397593,16.8,40.4
2022-04-05 01:29:04.631868,16.3,39.9
2022-04-05 01:29:15.137614,17.5,39.4
2022-04-05 01:29:25.367687,16.6,40.4
2022-04-05 01:29:35.600046,16.2,39.9
2022-04-05 01:29:45.867726,16.4,39.9
2022-04-05 01:29:56.107612,17.7,39.4
2022-04-05 01:30:06.347609,19.2,39.9
2022-04-05 01:30:16.587652,16.5,39.4
2022-04-05 01:30:26.957656,16.6,39.9
2022-04-05 01:30:37.217664,15.2,40.9
2022-04-05 01:30:47.467612,16.2,40.9
2022-04-05 01:30:57.697672,17.4,39.4
2022-04-05 01:31:07.937607,16.8,39.4
2022-04-05 01:31:18.217730,17.8,39.9
2022-04-05 01:31:28.458067,18,41.8
2022-04-05 01:31:38.707644,23.6,40.4
2022-04-05 01:31:49.079296,15.7,39.4
2022-04-05 01:31:59.357610,17.6,39.9
2022-04-05 01:32:09.612817,15.5,39.4
2022-04-05 01:32:19.987656,15.7,39.9
2022-04-05 01:32:30.367687,17.4,39.9
2022-04-05 01:32:40.752733,15.9,39.4
2022-04-05 01:32:51.152262,16.8,39.9
2022-04-05 01:33:01.407895,20.7,40.9
2022-04-05 01:33:11.807796,16.6,40.9
2022-04-05 01:33:22.053875,16.2,40.4
2022-04-05 01:33:32.337742,17.3,39.4
2022-04-05 01:33:42.616046,16.4,39.9
2022-04-05 01:33:52.987598,16.9,41.3
2022-04-05 01:34:03.177921,17.7,39.9
2022-04-05 01:34:13.548228,18.3,39.4
2022-04-05 01:34:23.927722,18.2,40.4
2022-04-05 01:34:34.297638,19.4,39.4
2022-04-05 01:34:44.527808,27.1,39.9
2022-04-05 01:34:54.927669,28,39.9
2022-04-05 01:35:05.157724,27.7,40.4
2022-04-05 01:35:15.537764,25.8,39.4
2022-04-05 01:35:25.827688,16.1,39.4
2022-04-05 01:35:36.067618,15.8,39.9
2022-04-05 01:35:46.452294,18.2,39.9
2022-04-05 01:35:56.727688,15.6,39.9
2022-04-05 01:36:06.977598,16.6,41.3
2022-04-05 01:36:17.213710,16.1,40.4
2022-04-05 01:36:27.587708,16.2,40.4
2022-04-05 01:36:37.857717,16.4,40.4
2022-04-05 01:36:48.245229,19.1,40.9
2022-04-05 01:36:58.477645,16.8,39.9
2022-04-05 01:37:08.770821,16.7,40.4
2022-04-05 01:37:19.170184,17.1,39.4
2022-04-05 01:37:29.577292,16.5,40.4
2022-04-05 01:37:39.829304,16.7,40.9
2022-04-05 01:37:50.047731,18.1,39.9
2022-04-05 01:38:00.337665,19.1,39.9
2022-04-05 01:38:10.567634,17.1,39.9
2022-04-05 01:38:20.807700,17.4,39.9
2022-04-05 01:38:31.073515,18.3,40.4
2022-04-05 01:38:41.357641,19.8,39.4
2022-04-05 01:38:51.637708,25.1,39.9
2022-04-05 01:39:01.887603,28.8,40.4
2022-04-05 01:39:12.137641,26.3,40.9
2022-04-05 01:39:22.529280,26.8,39.9
2022-04-05 01:39:33.027677,28.7,40.4
2022-04-05 01:39:43.297687,28.3,40.9
2022-04-05 01:39:53.541114,26.6,39.4
2022-04-05 01:40:03.777628,23,39.9
2022-04-05 01:40:14.167699,16.6,39.9
2022-04-05 01:40:24.437651,16.5,39.9
2022-04-05 01:40:34.800939,17.7,39.9
2022-04-05 01:40:45.027890,15.6,39.4
2022-04-05 01:40:55.437731,16.2,40.9
2022-04-05 01:41:05.730594,16,39.9
2022-04-05 01:41:15.967675,16.7,39.9
2022-04-05 01:41:26.387664,16.9,39.9
2022-04-05 01:41:36.607665,15.7,40.9
